sample_id,I1_factor,I2_factor,I3_factor,pattern,n_damaged_members,severity,Fh_total,q_beam,maxUx,maxUy,maxUmag,maxMoment,M_colL_bottom,M_colL_top,M_beam_left,M_beam_right,M_colR_bottom,M_colR_top
98,1,0.985,1,beam_only,1,healthy,10000,-15000,0.000656677464277715,4.48050625990506e-05,0.000657806749536659,409352.161671644,14497.9445604917,20229.3799759162,-20229.3799759162,6106.59828018832,1379.27374378041,-6106.59828018833
99,1,0.985,1,beam_only,1,healthy,10000,-20000,0.00065789520036021,5.86939514879395e-05,0.00065998004006179,538741.491380995,16684.3896966102,24618.7096852669,-24618.7096852669,10495.9279895391,-807.171392338123,-10495.9279895391
100,1,0.985,1,beam_only,1,healthy,15000,-10000,0.000981971856210337,3.24853716763537e-05,0.000982242821186999,290554.918234089,16280.8040004411,19370.7456904974,-19370.7456904974,-1813.42685309439,7535.02345596697,1813.42685309439
101,1,0.985,1,beam_only,1,healthy,15000,-15000,0.000983189592292832,4.63742605652426e-05,0.000983884011178565,419944.24794344,18467.2491365597,23760.0753998482,-23760.0753998482,2575.90285625637,5348.57831984843,-2575.90285625636
102,1,0.985,1,beam_only,1,healthy,15000,-20000,0.000984407328375326,6.02631494541315e-05,0.000985719688026833,549333.577652791,20653.6942726782,28149.4051091989,-28149.4051091989,6965.23256560711,3162.13318372989,-6965.23256560711
103,1,0.985,1,beam_only,1,healthy,20000,-10000,0.00130848398422545,3.40545696425457e-05,0.0013086606242146,301147.004505885,20250.1085765091,22901.4411144294,-22901.4411144294,-5344.12227702636,11504.328032035,5344.12227702636
104,1,0.985,1,beam_only,1,healthy,20000,-15000,0.00130970172030795,4.79434585314346e-05,0.00131017977370134,430536.334215236,22436.5537126277,27290.7708237801,-27290.7708237801,-954.792567675595,9317.88289591645,954.792567675609
105,1,0.985,1,beam_only,1,healthy,20000,-20000,0.00131091945639044,6.18323474203235e-05,0.00131184534823809,559925.663924587,24622.9988487462,31680.1005331309,-31680.1005331309,3434.53714167515,7131.43775979791,-3434.53714167515
106,1,0.985,1,beam_only,1,healthy,25000,-10000,0.00163499611224057,3.56237676087377e-05,0.00163511759919968,311739.090777681,24219.4131525772,26432.1365383613,-26432.1365383613,-8874.81770095832,15473.632608103,8874.81770095832
107,1,0.985,1,beam_only,1,healthy,25000,-15000,0.00163621384832306,4.95126564976266e-05,0.00163656334910256,441128.420487032,26405.8582886957,30821.4662477121,-30821.4662477121,-4485.48799160756,13287.1874719845,4485.48799160757
108,1,0.985,1,beam_only,1,healthy,25000,-20000,0.00163743158440556,6.34015453865155e-05,0.00163812648970418,570517.750196383,28592.3034248142,35210.7959570628,-35210.7959570628,-96.1582822568162,11100.7423358659,96.1582822568162
109,1,0.98,1,beam_only,1,healthy,10000,-10000,0.000655925930088999,3.09152556553572e-05,0.000656388581666599,279982.495547034,12326.4468472014,15863.845097927,-15863.8450979269,1745.19464881944,3554.90270369102,-1745.19464881944
110,1,0.98,1,beam_only,1,healthy,10000,-15000,0.000657147253417251,4.48041445442461e-05,0.000658275786477508,409384.755483721,14519.332883079,20266.1050346136,-20266.1050346136,6147.45458550604,1362.01666781342,-6147.45458550604
111,1,0.98,1,beam_only,1,healthy,10000,-20000,0.000658368576745504,5.8693033433135e-05,0.000660451995010504,538787.015420408,16712.2189189566,24668.3649713002,-24668.3649713002,10549.7145221926,-830.86936806417,-10549.7145221926
112,1,0.98,1,beam_only,1,healthy,15000,-10000,0.000982667571805245,3.2483994594147e-05,0.00098293837731712,290571.483383865,16296.7842349245,19393.5077102038,-19393.5077102038,-1784.46796345744,7525.24009141412,1784.46796345744
113,1,0.98,1,beam_only,1,healthy,15000,-15000,0.000983888895133498,4.63728834830358e-05,0.000984582872499899,419973.743320552,18489.6702708021,23795.7676468904,-23795.7676468904,2617.79197322916,5332.35405553653,-2617.79197322916
